episode,seed,algorithm,scenario,reward,length,success,collision,terminated,truncated,termination_reason,final_distance,flags_collected,epsilon,exploration_mode,random_action_steps,environment_steps,critic_updates,actor_updates,critic_loss,actor_loss,alpha_loss,alpha,td_error
1,0,,,-1586.0,200,False,False,False,True,cutoff,,,1.0,epsilon_greedy,,200,,,,,,,5.740405646537043
2,1,,,-1685.0,200,False,False,False,True,cutoff,,,0.9997,epsilon_greedy,,400,,,,,,,3.964649357162732
3,2,,,-893.0,200,False,False,False,True,cutoff,,,0.9994000000000001,epsilon_greedy,,600,,,,,,,1.4857552045310578
4,3,,,-1685.0,200,False,False,False,True,cutoff,,,0.9991000000000001,epsilon_greedy,,800,,,,,,,1.906013767391446
5,4,,,-1190.0,200,False,False,False,True,cutoff,,,0.9988000000000001,epsilon_greedy,,1000,,,,,,,2.0455669454612493
6,5,,,-1982.0,200,False,False,False,True,cutoff,,,0.9985000000000002,epsilon_greedy,,1200,,,,,,,2.1040883502434373
7,6,,,-1685.0,200,False,False,False,True,cutoff,,,0.9982000000000002,epsilon_greedy,,1400,,,,,,,1.4612516076152744
8,7,,,-1190.0,200,False,False,False,True,cutoff,,,0.9979000000000002,epsilon_greedy,,1600,,,,,,,1.0564472542465422
9,8,,,-1685.0,200,False,False,False,True,cutoff,,,0.9976000000000003,epsilon_greedy,,1800,,,,,,,2.8233787320967343
10,9,,,-1289.0,200,False,False,False,True,cutoff,,,0.9973000000000003,epsilon_greedy,,2000,,,,,,,1.505370972080999
11,10,,,-1883.0,200,False,False,False,True,cutoff,,,0.9970000000000003,epsilon_greedy,,2200,,,,,,,2.293969039307311
12,11,,,-1784.0,200,False,False,False,True,cutoff,,,0.9967000000000004,epsilon_greedy,,2400,,,,,,,1.717509433607557
13,12,,,-1586.0,200,False,False,False,True,cutoff,,,0.9964000000000004,epsilon_greedy,,2600,,,,,,,1.4374047985820142
14,13,,,-1388.0,200,False,False,False,True,cutoff,,,0.9961000000000004,epsilon_greedy,,2800,,,,,,,1.2350743815328522
15,14,,,-992.0,200,False,False,False,True,cutoff,,,0.9958000000000005,epsilon_greedy,,3000,,,,,,,1.0460271315753444
16,15,,,-2279.0,200,False,False,False,True,cutoff,,,0.9955000000000005,epsilon_greedy,,3200,,,,,,,0.8122477096493581
17,16,,,-1190.0,200,False,False,False,True,cutoff,,,0.9952000000000005,epsilon_greedy,,3400,,,,,,,0.9839367620829377
18,17,,,-2774.0,200,False,False,False,True,cutoff,,,0.9949000000000006,epsilon_greedy,,3600,,,,,,,1.2143010298134194
19,18,,,-1784.0,200,False,False,False,True,cutoff,,,0.9946000000000006,epsilon_greedy,,3800,,,,,,,1.5488865155779095
20,19,,,-2081.0,200,False,False,False,True,cutoff,,,0.9943000000000006,epsilon_greedy,,4000,,,,,,,0.8545055804266414
21,20,,,-1784.0,200,False,False,False,True,cutoff,,,0.9940000000000007,epsilon_greedy,,4200,,,,,,,0.9734121013721999
22,21,,,-1091.0,200,False,False,False,True,cutoff,,,0.9937000000000007,epsilon_greedy,,4400,,,,,,,0.6502031104711458
23,22,,,-1586.0,200,False,False,False,True,cutoff,,,0.9934000000000007,epsilon_greedy,,4600,,,,,,,0.8810447726734946
24,23,,,-1289.0,200,False,False,False,True,cutoff,,,0.9931000000000008,epsilon_greedy,,4800,,,,,,,0.5172956640832984
25,24,,,-1883.0,200,False,False,False,True,cutoff,,,0.9928000000000008,epsilon_greedy,,5000,,,,,,,0.5981914907013917
26,25,,,-1289.0,200,False,False,False,True,cutoff,,,0.9925000000000008,epsilon_greedy,,5200,,,,,,,0.32282818208242575
27,26,,,-3071.0,200,False,False,False,True,cutoff,,,0.9922000000000009,epsilon_greedy,,5400,,,,,,,0.2539331385436106
28,27,,,-2081.0,200,False,False,False,True,cutoff,,,0.9919000000000009,epsilon_greedy,,5600,,,,,,,0.8960178702303834
29,28,,,-1586.0,200,False,False,False,True,cutoff,,,0.9916000000000009,epsilon_greedy,,5800,,,,,,,0.8028528659358496
30,29,,,-1388.0,200,False,False,False,True,cutoff,,,0.991300000000001,epsilon_greedy,,6000,,,,,,,1.3400955927417828
31,30,,,-1883.0,200,False,False,False,True,cutoff,,,0.991000000000001,epsilon_greedy,,6200,,,,,,,0.9741708278185227
32,31,,,-992.0,200,False,False,False,True,cutoff,,,0.990700000000001,epsilon_greedy,,6400,,,,,,,0.7397191776287076
33,32,,,-1487.0,200,False,False,False,True,cutoff,,,0.9904000000000011,epsilon_greedy,,6600,,,,,,,0.6022052643679077
34,33,,,-786.0,192,True,False,True,False,success,,,0.9901000000000011,epsilon_greedy,,6792,,,,,,,0.6454889688713165
35,34,,,-1190.0,200,False,False,False,True,cutoff,,,0.9898000000000011,epsilon_greedy,,6992,,,,,,,0.736009315413338
36,35,,,-2378.0,200,False,False,False,True,cutoff,,,0.9895000000000012,epsilon_greedy,,7192,,,,,,,0.30592992070283853
37,36,,,-398.0,200,False,False,False,True,cutoff,,,0.9892000000000012,epsilon_greedy,,7392,,,,,,,1.1690273799053221
38,37,,,-1190.0,200,False,False,False,True,cutoff,,,0.9889000000000012,epsilon_greedy,,7592,,,,,,,0.5892405089667729
39,38,,,-1784.0,200,False,False,False,True,cutoff,,,0.9886000000000013,epsilon_greedy,,7792,,,,,,,0.6221157123587728
40,39,,,-1190.0,200,False,False,False,True,cutoff,,,0.9883000000000013,epsilon_greedy,,7992,,,,,,,0.46907826106147044
41,40,,,-1586.0,200,False,False,False,True,cutoff,,,0.9880000000000013,epsilon_greedy,,8192,,,,,,,0.5578257908129352
42,41,,,-1685.0,200,False,False,False,True,cutoff,,,0.9877000000000014,epsilon_greedy,,8392,,,,,,,0.34505720244973825
43,42,,,-3071.0,200,False,False,False,True,cutoff,,,0.9874000000000014,epsilon_greedy,,8592,,,,,,,0.16260613094662726
44,43,,,-992.0,200,False,False,False,True,cutoff,,,0.9871000000000014,epsilon_greedy,,8792,,,,,,,0.4621913306597573
45,44,,,-1784.0,200,False,False,False,True,cutoff,,,0.9868000000000015,epsilon_greedy,,8992,,,,,,,1.0689398551793998
46,45,,,-1289.0,200,False,False,False,True,cutoff,,,0.9865000000000015,epsilon_greedy,,9192,,,,,,,0.976902168616338
47,46,,,-2081.0,200,False,False,False,True,cutoff,,,0.9862000000000015,epsilon_greedy,,9392,,,,,,,0.42349523012444246
48,47,,,-2180.0,200,False,False,False,True,cutoff,,,0.9859000000000016,epsilon_greedy,,9592,,,,,,,0.33542329722034886
49,48,,,-1487.0,200,False,False,False,True,cutoff,,,0.9856000000000016,epsilon_greedy,,9792,,,,,,,0.42958538654189105
50,49,,,-2675.0,200,False,False,False,True,cutoff,,,0.9853000000000016,epsilon_greedy,,9992,,,,,,,0.3238080019988493
51,50,,,-2180.0,200,False,False,False,True,cutoff,,,0.9850000000000017,epsilon_greedy,,10192,,,,,,,0.705035389901722
52,51,,,-1586.0,200,False,False,False,True,cutoff,,,0.9847000000000017,epsilon_greedy,,10392,,,,,,,0.7311464787123714
53,52,,,-2081.0,200,False,False,False,True,cutoff,,,0.9844000000000017,epsilon_greedy,,10592,,,,,,,0.14480206164299564
54,53,,,-1289.0,200,False,False,False,True,cutoff,,,0.9841000000000018,epsilon_greedy,,10792,,,,,,,0.29703325990629703
55,54,,,-2774.0,200,False,False,False,True,cutoff,,,0.9838000000000018,epsilon_greedy,,10992,,,,,,,0.12217821340868586
56,55,,,-794.0,200,False,False,False,True,cutoff,,,0.9835000000000018,epsilon_greedy,,11192,,,,,,,0.7043110711876553
57,56,,,-794.0,200,False,False,False,True,cutoff,,,0.9832000000000019,epsilon_greedy,,11392,,,,,,,0.8548251395960732
58,57,,,-2180.0,200,False,False,False,True,cutoff,,,0.9829000000000019,epsilon_greedy,,11592,,,,,,,0.4463736872934485
59,58,,,-992.0,200,False,False,False,True,cutoff,,,0.9826000000000019,epsilon_greedy,,11792,,,,,,,0.36834377576666105
60,59,,,-794.0,200,False,False,False,True,cutoff,,,0.982300000000002,epsilon_greedy,,11992,,,,,,,0.6586128019893164
61,60,,,-1685.0,200,False,False,False,True,cutoff,,,0.982000000000002,epsilon_greedy,,12192,,,,,,,0.15998560121553698
62,61,,,-1487.0,200,False,False,False,True,cutoff,,,0.981700000000002,epsilon_greedy,,12392,,,,,,,0.3138406464915287
63,62,,,-3071.0,200,False,False,False,True,cutoff,,,0.981400000000002,epsilon_greedy,,12592,,,,,,,0.39941766098700776
64,63,,,-1487.0,200,False,False,False,True,cutoff,,,0.9811000000000021,epsilon_greedy,,12792,,,,,,,0.6624755440559135
65,64,,,-992.0,200,False,False,False,True,cutoff,,,0.9808000000000021,epsilon_greedy,,12992,,,,,,,0.7083740521230549
66,65,,,-2081.0,200,False,False,False,True,cutoff,,,0.9805000000000021,epsilon_greedy,,13192,,,,,,,0.4454552181839075
67,66,,,-2378.0,200,False,False,False,True,cutoff,,,0.9802000000000022,epsilon_greedy,,13392,,,,,,,0.4829206016673747
68,67,,,-1487.0,200,False,False,False,True,cutoff,,,0.9799000000000022,epsilon_greedy,,13592,,,,,,,0.36437466915884953
69,68,,,-1883.0,200,False,False,False,True,cutoff,,,0.9796000000000022,epsilon_greedy,,13792,,,,,,,0.1755042301946167
70,69,,,-1487.0,200,False,False,False,True,cutoff,,,0.9793000000000023,epsilon_greedy,,13992,,,,,,,0.6268307679083999
71,70,,,-2873.0,200,False,False,False,True,cutoff,,,0.9790000000000023,epsilon_greedy,,14192,,,,,,,0.21466551774828546
72,71,,,-1982.0,200,False,False,False,True,cutoff,,,0.9787000000000023,epsilon_greedy,,14392,,,,,,,0.7625908562035357
73,72,,,-820.0,127,True,False,True,False,success,,,0.9784000000000024,epsilon_greedy,,14519,,,,,,,0.4343328047994407
74,73,,,-2081.0,200,False,False,False,True,cutoff,,,0.9781000000000024,epsilon_greedy,,14719,,,,,,,0.10871375590649456
75,74,,,-2576.0,200,False,False,False,True,cutoff,,,0.9778000000000024,epsilon_greedy,,14919,,,,,,,0.21123681468338418
76,75,,,-1388.0,200,False,False,False,True,cutoff,,,0.9775000000000025,epsilon_greedy,,15119,,,,,,,0.4967263752371728
77,76,,,-1487.0,200,False,False,False,True,cutoff,,,0.9772000000000025,epsilon_greedy,,15319,,,,,,,0.4039692622729691
78,77,,,-1388.0,200,False,False,False,True,cutoff,,,0.9769000000000025,epsilon_greedy,,15519,,,,,,,0.1941461105344991
