episode,seed,algorithm,scenario,reward,length,success,collision,terminated,truncated,termination_reason,final_distance,flags_collected,epsilon,exploration_mode,random_action_steps,environment_steps,critic_updates,actor_updates,critic_loss,actor_loss,alpha_loss,alpha,td_error
1,0,,,-1586.0,200,False,False,False,True,cutoff,,,1.0,epsilon_greedy,,200,,,,,,,7.873161014995659
2,1,,,-1685.0,200,False,False,False,True,cutoff,,,0.9997,epsilon_greedy,,400,,,,,,,9.532065908030313
3,2,,,-794.0,200,False,False,False,True,cutoff,,,0.9994000000000001,epsilon_greedy,,600,,,,,,,5.14068739451321
4,3,,,-1586.0,200,False,False,False,True,cutoff,,,0.9991000000000001,epsilon_greedy,,800,,,,,,,10.953821742484683
5,4,,,-1289.0,200,False,False,False,True,cutoff,,,0.9988000000000001,epsilon_greedy,,1000,,,,,,,10.994173864639242
6,5,,,-1982.0,200,False,False,False,True,cutoff,,,0.9985000000000002,epsilon_greedy,,1200,,,,,,,16.34752592886724
7,6,,,-1487.0,200,False,False,False,True,cutoff,,,0.9982000000000002,epsilon_greedy,,1400,,,,,,,13.93636293062901
8,7,,,-992.0,200,False,False,False,True,cutoff,,,0.9979000000000002,epsilon_greedy,,1600,,,,,,,9.087987570265796
9,8,,,-1982.0,200,False,False,False,True,cutoff,,,0.9976000000000003,epsilon_greedy,,1800,,,,,,,17.214493781352882
10,9,,,-893.0,200,False,False,False,True,cutoff,,,0.9973000000000003,epsilon_greedy,,2000,,,,,,,10.631076812668516
11,10,,,-1883.0,200,False,False,False,True,cutoff,,,0.9970000000000003,epsilon_greedy,,2200,,,,,,,18.978880256675303
12,11,,,-1586.0,200,False,False,False,True,cutoff,,,0.9967000000000004,epsilon_greedy,,2400,,,,,,,15.750600365363802
13,12,,,-1883.0,200,False,False,False,True,cutoff,,,0.9964000000000004,epsilon_greedy,,2600,,,,,,,23.47284848901954
14,13,,,-893.0,200,False,False,False,True,cutoff,,,0.9961000000000004,epsilon_greedy,,2800,,,,,,,13.276178292243367
15,14,,,-596.0,200,False,False,False,True,cutoff,,,0.9958000000000005,epsilon_greedy,,3000,,,,,,,10.685163342665735
16,15,,,-1982.0,200,False,False,False,True,cutoff,,,0.9955000000000005,epsilon_greedy,,3200,,,,,,,23.33629646502485
17,16,,,-1190.0,200,False,False,False,True,cutoff,,,0.9952000000000005,epsilon_greedy,,3400,,,,,,,16.183471772260017
