episode,seed,algorithm,scenario,reward,length,success,collision,terminated,truncated,termination_reason,final_distance,flags_collected,epsilon,exploration_mode,random_action_steps,environment_steps,critic_updates,actor_updates,critic_loss,actor_loss,alpha_loss,alpha,td_error
1,0,,,-157.52030154130932,176,False,True,True,False,collision,9.667187690734863,,,uniform_warmup,176,176,0,0,,,,,
2,1,,,-120.39556162375541,127,False,True,True,False,collision,8.48930549621582,,,uniform_warmup,127,303,0,0,,,,,
3,2,,,-122.2277776976478,45,False,True,True,False,collision,10.856535911560059,,,uniform_warmup,45,348,0,0,,,,,
4,3,,,-109.5719729864413,26,False,True,True,False,collision,10.471500396728516,,,uniform_warmup,26,374,0,0,,,,,
5,4,,,-179.01208806452325,277,False,True,True,False,collision,8.465948104858398,,,uniform_warmup,277,651,0,0,,,,,
6,5,,,-125.25036985359421,46,False,True,True,False,collision,11.112899780273438,,,uniform_warmup,46,697,0,0,,,,,
7,6,,,-241.13096818168972,414,False,True,True,False,collision,8.97140121459961,,,uniform_warmup,414,1111,0,0,,,,,
8,7,,,-162.07661646853342,350,False,True,True,False,collision,5.651692867279053,,,uniform_warmup,350,1461,0,0,,,,,
9,8,,,-262.7855332351485,441,False,True,True,False,collision,10.318848609924316,,,uniform_warmup,441,1902,0,0,,,,,
10,9,,,-189.4071167641976,313,False,True,True,False,collision,8.682499885559082,,,uniform_warmup,313,2215,0,0,,,,,
11,10,,,-214.88055600621027,356,False,True,True,False,collision,8.678702354431152,,,uniform_warmup,356,2571,0,0,,,,,
12,11,,,-134.81864190780368,131,False,True,True,False,collision,9.45687484741211,,,uniform_warmup,131,2702,0,0,,,,,
13,12,,,-164.19201844206304,216,False,True,True,False,collision,9.068655967712402,,,uniform_warmup,216,2918,0,0,,,,,
14,13,,,-127.2573030107857,79,False,True,True,False,collision,10.082924842834473,,,uniform_warmup,79,2997,0,0,,,,,
15,14,,,-181.00459641782368,263,False,True,True,False,collision,8.903897285461426,,,uniform_warmup,263,3260,0,0,,,,,
16,15,,,-124.79471287789323,46,False,True,True,False,collision,10.916102409362793,,,uniform_warmup,46,3306,0,0,,,,,
17,16,,,-180.0205234827302,277,False,True,True,False,collision,8.76566219329834,,,uniform_warmup,277,3583,0,0,,,,,
18,17,,,-129.56924688075847,95,False,True,True,False,collision,9.982587814331055,,,uniform_warmup,95,3678,0,0,,,,,
19,18,,,-121.37684213025302,42,False,True,True,False,collision,10.765582084655762,,,uniform_warmup,42,3720,0,0,,,,,
20,19,,,-115.62682697867379,56,False,True,True,False,collision,10.159674644470215,,,uniform_warmup,56,3776,0,0,,,,,
21,20,,,-134.91251394317902,146,False,True,True,False,collision,9.212389945983887,,,uniform_warmup,146,3922,0,0,,,,,
22,21,,,-144.30091114662852,370,False,True,True,False,collision,3.609412670135498,,,uniform_warmup,370,4292,0,0,,,,,
23,22,,,-113.93580708845782,155,False,True,True,False,collision,7.278309345245361,,,uniform_warmup,155,4447,0,0,,,,,
24,23,,,-170.43477018995534,222,False,True,True,False,collision,9.121959686279297,,,uniform_warmup,222,4669,0,0,,,,,
25,24,,,-118.52142058218483,56,False,True,True,False,collision,10.406798362731934,,,uniform_warmup,56,4725,0,0,,,,,
26,25,,,-121.12520770318379,48,False,True,True,False,collision,10.701220512390137,,,uniform_warmup,48,4773,0,0,,,,,
27,26,,,-163.34043063292918,253,False,True,True,False,collision,8.622900009155273,,,mixed_warmup_policy,227,5026,27,27,34.70358004117453,0.4183739560432042,,,
28,27,,,-163.64703970440152,176,False,True,True,False,collision,10.822876930236816,,,ou_noise,0,5202,203,203,49.03202595680275,0.6152935586869717,,,
29,28,,,-301.4012299289715,722,False,True,True,False,collision,5.401586055755615,,,ou_noise,0,5924,925,925,45.108487881802624,0.36099699797454465,,,
30,29,,,-274.21269417195117,682,False,True,True,False,collision,5.592844486236572,,,ou_noise,0,6606,1607,1607,34.85818750553292,0.2116420867633009,,,
31,30,,,17.71791533290029,573,True,False,True,False,success,0.4925720989704132,,,ou_noise,0,7179,2180,2180,28.230850275820462,0.15147815931004913,,,
32,31,,,-121.98812284483336,182,False,True,True,False,collision,6.826359748840332,,,ou_noise,0,7361,2362,2362,22.72698307135603,0.09924703376408625,,,
33,32,,,124.97960107392419,250,True,False,True,False,success,0.4937242567539215,,,ou_noise,0,7611,2612,2612,24.18130506181717,0.15352302047237754,,,
34,33,,,-97.21969064146609,53,False,True,True,False,collision,8.5925931930542,,,ou_noise,0,7664,2665,2665,27.358656173607088,-0.001425293098502564,,,
35,34,,,143.0625859549963,210,True,False,True,False,success,0.4533466100692749,,,ou_noise,0,7874,2875,2875,29.625441381761007,0.04605139264216026,,,
36,35,,,-194.95113845662613,345,False,True,True,False,collision,7.604658603668213,,,ou_noise,0,8219,3220,3220,26.964282428570417,0.04668798058874149,,,
37,36,,,-137.51126498217621,303,False,True,True,False,collision,4.225480556488037,,,ou_noise,0,8522,3523,3523,24.42640850744625,-0.0034244777942107063,,,
38,37,,,-116.90306052378138,212,False,True,True,False,collision,5.273617267608643,,,ou_noise,0,8734,3735,3735,26.5922044764431,-0.030865071337002347,,,
39,38,,,-325.423326554611,1000,False,False,False,True,cutoff,6.040119647979736,,,ou_noise,0,9734,4735,4735,23.18548498034477,-0.04598776926659048,,,
40,39,,,-335.9393900309669,1000,False,False,False,True,cutoff,7.103712558746338,,,ou_noise,0,10734,5735,5735,20.811650215491653,-0.16035934503935279,,,
41,40,,,-346.10801927998295,1000,False,False,False,True,cutoff,6.097306728363037,,,ou_noise,0,11734,6735,6735,16.888317151367666,-0.23798131321556867,,,
42,41,,,-336.7079853338155,1000,False,False,False,True,cutoff,4.6390838623046875,,,ou_noise,0,12734,7735,7735,14.631311892256141,-0.3487580245640129,,,
43,42,,,-73.0489482627579,86,False,True,True,False,collision,5.524075984954834,,,ou_noise,0,12820,7821,7821,12.831901865989662,-0.46758163278532583,,,
44,43,,,-267.5229512796789,1000,False,False,False,True,cutoff,2.7130017280578613,,,ou_noise,0,13820,8821,8821,13.589311728820205,-0.5659597953502089,,,
45,44,,,-162.84492980510242,319,False,True,True,False,collision,7.735869407653809,,,ou_noise,0,14139,9140,9140,12.297316858013595,-0.666199959604344,,,
46,45,,,-333.05201586721836,1000,False,False,False,True,cutoff,7.317216396331787,,,ou_noise,0,15139,10140,10140,13.440237820833921,-0.7356540139690042,,,
47,46,,,-338.4911220454026,1000,False,False,False,True,cutoff,6.170833587646484,,,ou_noise,0,16139,11140,11140,11.938469559490681,-0.860184236690402,,,
48,47,,,-342.925219830711,1000,False,False,False,True,cutoff,5.78656530380249,,,ou_noise,0,17139,12140,12140,9.995223703458905,-1.0467517019361257,,,
49,48,,,-334.7668095649163,1000,False,False,False,True,cutoff,4.439684867858887,,,ou_noise,0,18139,13140,13140,10.021438871711492,-1.2448980392813682,,,
50,49,,,-332.9802227821773,1000,False,False,False,True,cutoff,4.912353515625,,,ou_noise,0,19139,14140,14140,9.541548028185964,-1.427494523257017,,,
51,50,,,-266.41085185285635,1000,False,False,False,True,cutoff,2.8641836643218994,,,ou_noise,0,20139,15140,15140,9.960359908297658,-1.552946474671364,,,
52,51,,,-254.73015946371606,1000,False,False,False,True,cutoff,3.5374512672424316,,,ou_noise,0,21139,16140,16140,8.467821867510676,-1.682062616109848,,,
