episode,seed,algorithm,scenario,reward,length,success,collision,terminated,truncated,termination_reason,final_distance,flags_collected,epsilon,exploration_mode,random_action_steps,environment_steps,critic_updates,actor_updates,critic_loss,actor_loss,alpha_loss,alpha,td_error
1,0,,,-157.52030154130932,176,False,True,True,False,collision,9.667187690734863,,,uniform_warmup,176,176,0,0,,,,0.19999998807907104,
2,1,,,-120.39556162375541,127,False,True,True,False,collision,8.48930549621582,,,uniform_warmup,127,303,0,0,,,,0.19999998807907104,
3,2,,,-122.2277776976478,45,False,True,True,False,collision,10.856535911560059,,,uniform_warmup,45,348,0,0,,,,0.19999998807907104,
4,3,,,-109.5719729864413,26,False,True,True,False,collision,10.471500396728516,,,uniform_warmup,26,374,0,0,,,,0.19999998807907104,
5,4,,,-179.01208806452325,277,False,True,True,False,collision,8.465948104858398,,,uniform_warmup,277,651,0,0,,,,0.19999998807907104,
6,5,,,-125.25036985359421,46,False,True,True,False,collision,11.112899780273438,,,uniform_warmup,46,697,0,0,,,,0.19999998807907104,
7,6,,,-241.13096818168972,414,False,True,True,False,collision,8.97140121459961,,,uniform_warmup,414,1111,0,0,,,,0.19999998807907104,
8,7,,,-162.07661646853342,350,False,True,True,False,collision,5.651692867279053,,,uniform_warmup,350,1461,0,0,,,,0.19999998807907104,
9,8,,,-262.7855332351485,441,False,True,True,False,collision,10.318848609924316,,,uniform_warmup,441,1902,0,0,,,,0.19999998807907104,
10,9,,,-189.4071167641976,313,False,True,True,False,collision,8.682499885559082,,,uniform_warmup,313,2215,0,0,,,,0.19999998807907104,
11,10,,,-214.88055600621027,356,False,True,True,False,collision,8.678702354431152,,,uniform_warmup,356,2571,0,0,,,,0.19999998807907104,
12,11,,,-134.81864190780368,131,False,True,True,False,collision,9.45687484741211,,,uniform_warmup,131,2702,0,0,,,,0.19999998807907104,
13,12,,,-164.19201844206304,216,False,True,True,False,collision,9.068655967712402,,,uniform_warmup,216,2918,0,0,,,,0.19999998807907104,
14,13,,,-127.2573030107857,79,False,True,True,False,collision,10.082924842834473,,,uniform_warmup,79,2997,0,0,,,,0.19999998807907104,
15,14,,,-181.00459641782368,263,False,True,True,False,collision,8.903897285461426,,,uniform_warmup,263,3260,0,0,,,,0.19999998807907104,
16,15,,,-124.79471287789323,46,False,True,True,False,collision,10.916102409362793,,,uniform_warmup,46,3306,0,0,,,,0.19999998807907104,
17,16,,,-180.0205234827302,277,False,True,True,False,collision,8.76566219329834,,,uniform_warmup,277,3583,0,0,,,,0.19999998807907104,
18,17,,,-129.56924688075847,95,False,True,True,False,collision,9.982587814331055,,,uniform_warmup,95,3678,0,0,,,,0.19999998807907104,
19,18,,,-121.37684213025302,42,False,True,True,False,collision,10.765582084655762,,,uniform_warmup,42,3720,0,0,,,,0.19999998807907104,
20,19,,,-115.62682697867379,56,False,True,True,False,collision,10.159674644470215,,,uniform_warmup,56,3776,0,0,,,,0.19999998807907104,
21,20,,,-134.91251394317902,146,False,True,True,False,collision,9.212389945983887,,,uniform_warmup,146,3922,0,0,,,,0.19999998807907104,
22,21,,,-144.30091114662852,370,False,True,True,False,collision,3.609412670135498,,,uniform_warmup,370,4292,0,0,,,,0.19999998807907104,
23,22,,,-113.93580708845782,155,False,True,True,False,collision,7.278309345245361,,,uniform_warmup,155,4447,0,0,,,,0.19999998807907104,
24,23,,,-170.43477018995534,222,False,True,True,False,collision,9.121959686279297,,,uniform_warmup,222,4669,0,0,,,,0.19999998807907104,
25,24,,,-118.52142058218483,56,False,True,True,False,collision,10.406798362731934,,,uniform_warmup,56,4725,0,0,,,,0.19999998807907104,
26,25,,,-121.12520770318379,48,False,True,True,False,collision,10.701220512390137,,,uniform_warmup,48,4773,0,0,,,,0.19999998807907104,
27,26,,,-384.0607596224317,1200,False,False,False,True,cutoff,6.452713489532471,,,mixed_warmup_policy,227,5973,1948,1948,83.92247643990316,-0.19624716791422805,-5.874601891887751,0.15455216083683274,
28,27,,,-432.0895780967631,1200,False,False,False,True,cutoff,6.026176929473877,,,stochastic_policy,0,7173,4348,4348,66.59147767283022,-2.3573353712260725,-5.274490142762661,0.08802134966788193,
29,28,,,-404.79464989512405,1200,False,False,False,True,cutoff,3.5207107067108154,,,stochastic_policy,0,8373,6748,6748,55.37467877417803,-3.044685271928708,-3.2008935624733565,0.050286521404050294,
30,29,,,-131.54682458938336,146,False,True,True,False,collision,8.141395568847656,,,stochastic_policy,0,8519,7040,7040,45.67826676919852,-2.7605979454843967,-1.9921570975486547,0.038366549303882745,
31,30,,,-88.3091235647519,51,False,True,True,False,collision,7.710721015930176,,,stochastic_policy,0,8570,7142,7142,58.84176707852121,-2.668935042970321,-2.2275386289054273,0.03705274101858046,
32,31,,,-207.79504873949776,495,False,True,True,False,collision,2.3122053146362305,,,stochastic_policy,0,9065,8132,8132,52.1285594154488,-2.2615549891886086,-2.3020925005954322,0.03298931430197424,
33,32,,,-195.6631916400875,527,False,True,True,False,collision,2.8713254928588867,,,stochastic_policy,0,9592,9186,9186,48.8278502042651,-1.4830901761887423,-2.1574043101106244,0.025762751470523156,
34,33,,,-379.0869684571925,1200,False,False,False,True,cutoff,5.668769836425781,,,stochastic_policy,0,10792,11586,11586,45.24116644901534,-0.17920224838346863,-1.0747241274810706,0.018808321927984557,
35,34,,,-78.26903492540468,51,False,True,True,False,collision,6.931191444396973,,,stochastic_policy,0,10843,11688,11688,31.690914152884016,0.8060801290706092,0.5653738918549874,0.015753712158138845,
36,35,,,-84.51015998348515,47,False,True,True,False,collision,7.699349403381348,,,stochastic_policy,0,10890,11782,11782,44.4860917976562,0.8433420501173811,0.07063707558715597,0.01585773283496816,
37,36,,,-82.31996996567675,48,False,True,True,False,collision,7.413898468017578,,,stochastic_policy,0,10938,11878,11878,49.077245802929006,0.925262684157739,-0.8650054469859848,0.015792346617672592,
38,37,,,-184.46186426183925,1116,True,False,True,False,success,0.4996933937072754,,,stochastic_policy,0,12054,14110,14110,38.90165303530018,1.7611758302343095,-0.13187438487175412,0.014537466649470122,
39,38,,,-291.82222765189687,1200,False,False,False,True,cutoff,3.246180295944214,,,stochastic_policy,0,13254,16510,16510,33.97509829419354,2.037649330602338,0.3723947463665778,0.01785333884608311,
40,39,,,-402.22303519018595,1200,False,False,False,True,cutoff,7.380270957946777,,,stochastic_policy,0,14454,18910,18910,28.996469945112864,0.7192243719752878,0.07960005545367797,0.018834962469215195,
41,40,,,-295.98021617223986,1200,False,False,False,True,cutoff,4.917457103729248,,,stochastic_policy,0,15654,21310,21310,24.81732728973031,-0.7370177751034498,0.2091190317211052,0.020908040913442772,
