episode,seed,algorithm,scenario,reward,length,success,collision,terminated,truncated,termination_reason,final_distance,flags_collected,epsilon,exploration_mode,random_action_steps,environment_steps,critic_updates,actor_updates,critic_loss,actor_loss,alpha_loss,alpha,td_error
1,0,,,-157.52030154130932,176,False,True,True,False,collision,9.667187690734863,,,uniform_warmup,176,176,0,0,,,,,
2,1,,,-120.39556162375541,127,False,True,True,False,collision,8.48930549621582,,,uniform_warmup,127,303,0,0,,,,,
3,2,,,-122.2277776976478,45,False,True,True,False,collision,10.856535911560059,,,uniform_warmup,45,348,0,0,,,,,
4,3,,,-109.5719729864413,26,False,True,True,False,collision,10.471500396728516,,,uniform_warmup,26,374,0,0,,,,,
5,4,,,-179.01208806452325,277,False,True,True,False,collision,8.465948104858398,,,uniform_warmup,277,651,0,0,,,,,
6,5,,,-125.25036985359421,46,False,True,True,False,collision,11.112899780273438,,,uniform_warmup,46,697,0,0,,,,,
7,6,,,-241.13096818168972,414,False,True,True,False,collision,8.97140121459961,,,uniform_warmup,414,1111,0,0,,,,,
8,7,,,-162.07661646853342,350,False,True,True,False,collision,5.651692867279053,,,uniform_warmup,350,1461,0,0,,,,,
9,8,,,-262.7855332351485,441,False,True,True,False,collision,10.318848609924316,,,uniform_warmup,441,1902,0,0,,,,,
10,9,,,-189.4071167641976,313,False,True,True,False,collision,8.682499885559082,,,uniform_warmup,313,2215,0,0,,,,,
11,10,,,-214.88055600621027,356,False,True,True,False,collision,8.678702354431152,,,uniform_warmup,356,2571,0,0,,,,,
12,11,,,-134.81864190780368,131,False,True,True,False,collision,9.45687484741211,,,uniform_warmup,131,2702,0,0,,,,,
13,12,,,-164.19201844206304,216,False,True,True,False,collision,9.068655967712402,,,uniform_warmup,216,2918,0,0,,,,,
14,13,,,-127.2573030107857,79,False,True,True,False,collision,10.082924842834473,,,uniform_warmup,79,2997,0,0,,,,,
15,14,,,-181.00459641782368,263,False,True,True,False,collision,8.903897285461426,,,uniform_warmup,263,3260,0,0,,,,,
16,15,,,-124.79471287789323,46,False,True,True,False,collision,10.916102409362793,,,uniform_warmup,46,3306,0,0,,,,,
17,16,,,-180.0205234827302,277,False,True,True,False,collision,8.76566219329834,,,uniform_warmup,277,3583,0,0,,,,,
18,17,,,-129.56924688075847,95,False,True,True,False,collision,9.982587814331055,,,uniform_warmup,95,3678,0,0,,,,,
19,18,,,-121.37684213025302,42,False,True,True,False,collision,10.765582084655762,,,uniform_warmup,42,3720,0,0,,,,,
20,19,,,-115.62682697867379,56,False,True,True,False,collision,10.159674644470215,,,uniform_warmup,56,3776,0,0,,,,,
21,20,,,-134.91251394317902,146,False,True,True,False,collision,9.212389945983887,,,uniform_warmup,146,3922,0,0,,,,,
22,21,,,-144.30091114662852,370,False,True,True,False,collision,3.609412670135498,,,uniform_warmup,370,4292,0,0,,,,,
23,22,,,-113.93580708845782,155,False,True,True,False,collision,7.278309345245361,,,uniform_warmup,155,4447,0,0,,,,,
24,23,,,-170.43477018995534,222,False,True,True,False,collision,9.121959686279297,,,uniform_warmup,222,4669,0,0,,,,,
25,24,,,-118.52142058218483,56,False,True,True,False,collision,10.406798362731934,,,uniform_warmup,56,4725,0,0,,,,,
26,25,,,-121.12520770318379,48,False,True,True,False,collision,10.701220512390137,,,uniform_warmup,48,4773,0,0,,,,,
27,26,,,-177.41218887024706,278,False,True,True,False,collision,8.640030860900879,,,mixed_warmup_policy,227,5051,104,52,92.22507899053969,0.5180681812254568,,,
28,27,,,-168.44615133038272,165,False,True,True,False,collision,11.362737655639648,,,ou_noise,0,5216,434,217,90.06406732373165,0.42090221896316066,,,
29,28,,,-114.22886649291429,27,False,True,True,False,collision,11.354004859924316,,,ou_noise,0,5243,488,244,90.58405783441331,0.46792184313138324,,,
30,29,,,-116.7871309535513,31,False,True,True,False,collision,11.523448944091797,,,ou_noise,0,5274,550,275,95.99284747531337,0.4667030822846197,,,
31,30,,,-133.60744426234336,68,False,True,True,False,collision,11.429280281066895,,,ou_noise,0,5342,686,343,104.01823019981384,0.5827687553623143,,,
32,31,,,-175.78852781063438,187,False,True,True,False,collision,10.295999526977539,,,ou_noise,0,5529,1060,530,92.25017940121539,0.763386112802169,,,
33,32,,,-164.40155318910678,166,False,True,True,False,collision,10.601240158081055,,,ou_noise,0,5695,1392,696,79.7665841225759,1.0839520861585457,,,
34,33,,,-112.70085462247224,26,False,True,True,False,collision,11.083157539367676,,,ou_noise,0,5721,1444,722,84.8300367559378,1.280469142473661,,,
35,34,,,-114.18899707842796,26,False,True,True,False,collision,11.24593448638916,,,ou_noise,0,5747,1496,748,70.62629874967612,1.3666441440582275,,,
36,35,,,-111.9624602230113,18,False,True,True,False,collision,11.347307205200195,,,ou_noise,0,5765,1532,766,85.19115894370609,1.5834575096766155,,,
37,36,,,-112.85922913491378,19,False,True,True,False,collision,11.422714233398438,,,ou_noise,0,5784,1570,785,84.02777295363576,1.5722090256841559,,,
38,37,,,-114.0546944880065,21,False,True,True,False,collision,11.530467987060547,,,ou_noise,0,5805,1612,806,101.80892677534194,1.5968694119226365,,,
39,38,,,-116.00912743794454,33,False,True,True,False,collision,11.406549453735352,,,ou_noise,0,5838,1678,839,95.78364917726228,1.7281765179200606,,,
40,39,,,-111.8332941499708,19,False,True,True,False,collision,11.320633888244629,,,ou_noise,0,5857,1716,858,97.02459455163856,1.7904288517801386,,,
41,40,,,-118.85786109328582,39,False,True,True,False,collision,11.593829154968262,,,ou_noise,0,5896,1794,897,88.6548976439696,1.827635768132332,,,
42,41,,,-96.3099306042834,197,False,True,True,False,collision,4.172967433929443,,,ou_noise,0,6093,2188,1094,82.48249844533538,1.9234905690711162,,,
43,42,,,-98.35907329599434,59,False,True,True,False,collision,7.731277942657471,,,ou_noise,0,6152,2306,1153,78.65106330382622,1.721788311408738,,,
44,43,,,-93.84249923514999,88,False,True,True,False,collision,6.868635654449463,,,ou_noise,0,6240,2482,1241,83.30062797056003,1.6243061328476125,,,
45,44,,,138.79123923473003,198,True,False,True,False,success,0.4961407780647278,,,ou_noise,0,6438,2878,1439,78.21043917717355,1.595560812588894,,,
46,45,,,-85.17150641076695,146,False,True,True,False,collision,3.9231207370758057,,,ou_noise,0,6584,3170,1585,75.38480802758099,1.653067127482532,,,
47,46,,,140.97077234113056,198,True,False,True,False,success,0.4995794892311096,,,ou_noise,0,6782,3566,1783,71.79157459886387,1.8024585758796845,,,
48,47,,,-314.74891882235636,1000,False,False,False,True,cutoff,5.833642482757568,,,ou_noise,0,7782,5566,2783,61.314743167489766,2.1132319247722626,,,
49,48,,,-342.4040671311513,1000,False,False,False,True,cutoff,5.967458724975586,,,ou_noise,0,8782,7566,3783,45.85473039904237,2.7023778651952743,,,
50,49,,,-332.61609876112345,1000,False,False,False,True,cutoff,4.926646709442139,,,ou_noise,0,9782,9566,4783,34.37687622767687,3.3103705270290376,,,
51,50,,,-310.8498877378724,1000,False,False,False,True,cutoff,2.0087904930114746,,,ou_noise,0,10782,11566,5783,29.250649108350277,3.497988053560257,,,
52,51,,,-216.1111014224664,1000,False,False,False,True,cutoff,2.758970022201538,,,ou_noise,0,11782,13566,6783,30.906552076250314,3.1651266162395477,,,
53,52,,,-169.2845321318482,1000,False,False,False,True,cutoff,1.4481462240219116,,,ou_noise,0,12782,15566,7783,26.171691713124513,3.0004301652908327,,,
