episode,seed,algorithm,scenario,reward,length,success,collision,terminated,truncated,termination_reason,final_distance,flags_collected,epsilon,exploration_mode,random_action_steps,environment_steps,critic_updates,actor_updates,critic_loss,actor_loss,alpha_loss,alpha,td_error
1,0,,,-157.52030154130932,176,False,True,True,False,collision,9.667187690734863,,,uniform_warmup,176,176,0,0,,,,,
2,1,,,-120.39556162375541,127,False,True,True,False,collision,8.48930549621582,,,uniform_warmup,127,303,0,0,,,,,
3,2,,,-122.2277776976478,45,False,True,True,False,collision,10.856535911560059,,,uniform_warmup,45,348,0,0,,,,,
4,3,,,-109.5719729864413,26,False,True,True,False,collision,10.471500396728516,,,uniform_warmup,26,374,0,0,,,,,
5,4,,,-179.01208806452325,277,False,True,True,False,collision,8.465948104858398,,,uniform_warmup,277,651,0,0,,,,,
6,5,,,-125.25036985359421,46,False,True,True,False,collision,11.112899780273438,,,uniform_warmup,46,697,0,0,,,,,
7,6,,,-241.13096818168972,414,False,True,True,False,collision,8.97140121459961,,,uniform_warmup,414,1111,0,0,,,,,
8,7,,,-162.07661646853342,350,False,True,True,False,collision,5.651692867279053,,,uniform_warmup,350,1461,0,0,,,,,
9,8,,,-262.7855332351485,441,False,True,True,False,collision,10.318848609924316,,,uniform_warmup,441,1902,0,0,,,,,
10,9,,,-189.4071167641976,313,False,True,True,False,collision,8.682499885559082,,,uniform_warmup,313,2215,0,0,,,,,
11,10,,,-214.88055600621027,356,False,True,True,False,collision,8.678702354431152,,,uniform_warmup,356,2571,0,0,,,,,
12,11,,,-134.81864190780368,131,False,True,True,False,collision,9.45687484741211,,,uniform_warmup,131,2702,0,0,,,,,
13,12,,,-164.19201844206304,216,False,True,True,False,collision,9.068655967712402,,,uniform_warmup,216,2918,0,0,,,,,
14,13,,,-127.2573030107857,79,False,True,True,False,collision,10.082924842834473,,,uniform_warmup,79,2997,0,0,,,,,
15,14,,,-181.00459641782368,263,False,True,True,False,collision,8.903897285461426,,,uniform_warmup,263,3260,0,0,,,,,
16,15,,,-124.79471287789323,46,False,True,True,False,collision,10.916102409362793,,,uniform_warmup,46,3306,0,0,,,,,
17,16,,,-180.0205234827302,277,False,True,True,False,collision,8.76566219329834,,,uniform_warmup,277,3583,0,0,,,,,
18,17,,,-129.56924688075847,95,False,True,True,False,collision,9.982587814331055,,,uniform_warmup,95,3678,0,0,,,,,
19,18,,,-121.37684213025302,42,False,True,True,False,collision,10.765582084655762,,,uniform_warmup,42,3720,0,0,,,,,
20,19,,,-115.62682697867379,56,False,True,True,False,collision,10.159674644470215,,,uniform_warmup,56,3776,0,0,,,,,
21,20,,,-134.91251394317902,146,False,True,True,False,collision,9.212389945983887,,,uniform_warmup,146,3922,0,0,,,,,
22,21,,,-144.30091114662852,370,False,True,True,False,collision,3.609412670135498,,,uniform_warmup,370,4292,0,0,,,,,
23,22,,,-113.93580708845782,155,False,True,True,False,collision,7.278309345245361,,,uniform_warmup,155,4447,0,0,,,,,
24,23,,,-170.43477018995534,222,False,True,True,False,collision,9.121959686279297,,,uniform_warmup,222,4669,0,0,,,,,
25,24,,,-118.52142058218483,56,False,True,True,False,collision,10.406798362731934,,,uniform_warmup,56,4725,0,0,,,,,
26,25,,,-121.12520770318379,48,False,True,True,False,collision,10.701220512390137,,,uniform_warmup,48,4773,0,0,,,,,
27,26,,,-163.53793476899546,253,False,True,True,False,collision,8.636871337890625,,,mixed_warmup_policy,227,5026,27,13,69.7757457881062,0.07136804669593963,,,
28,27,,,-328.3892174840383,1000,False,False,False,True,cutoff,8.595796585083008,,,ou_noise,0,6026,1027,513,90.53558842360974,0.5150375072360038,,,
29,28,,,-112.78485084861717,20,False,True,True,False,collision,11.388940811157227,,,ou_noise,0,6046,1047,523,116.59661521911622,0.7994230210781097,,,
30,29,,,-114.21528503960108,22,False,True,True,False,collision,11.44035816192627,,,ou_noise,0,6068,1069,534,97.58503440293399,0.8533956029198386,,,
31,30,,,-133.64534254162854,75,False,True,True,False,collision,11.244426727294922,,,ou_noise,0,6143,1144,572,77.0215027252833,0.8238989569638905,,,
32,31,,,-114.57933170583784,23,False,True,True,False,collision,11.505311012268066,,,ou_noise,0,6166,1167,583,91.84156727790833,0.8797774585810575,,,
33,32,,,-118.7652515565497,44,False,True,True,False,collision,11.05771255493164,,,ou_noise,0,6210,1211,605,86.21971733461727,0.9927657354961742,,,
34,33,,,-116.71463249280892,44,False,True,True,False,collision,11.205893516540527,,,ou_noise,0,6254,1255,627,96.54930512742563,1.0774501887234775,,,
35,34,,,-111.1317489022428,29,False,True,True,False,collision,10.742332458496094,,,ou_noise,0,6283,1284,642,103.48001499833732,1.094973587989807,,,
36,35,,,-115.04279700258678,42,False,True,True,False,collision,10.642157554626465,,,ou_noise,0,6325,1326,663,122.33844868909745,1.1863698334920973,,,
37,36,,,-119.76350263409353,40,False,True,True,False,collision,11.486234664916992,,,ou_noise,0,6365,1366,683,96.19595541357994,1.2676994919776916,,,
38,37,,,-113.50537099363578,20,False,True,True,False,collision,11.44095516204834,,,ou_noise,0,6385,1386,693,65.99787566959859,1.2901999473571777,,,
39,38,,,-113.90291166389898,22,False,True,True,False,collision,11.486278533935547,,,ou_noise,0,6407,1408,704,83.12047789855437,1.3078791878440164,,,
40,39,,,-112.73005856517342,22,False,True,True,False,collision,11.373799324035645,,,ou_noise,0,6429,1430,715,142.3460946516557,1.3642030520872637,,,
41,40,,,-114.49777756904612,26,False,True,True,False,collision,11.426258087158203,,,ou_noise,0,6455,1456,728,84.28661740513948,1.4583077614124005,,,
42,41,,,-117.02297439339958,26,False,True,True,False,collision,11.576543807983398,,,ou_noise,0,6481,1482,741,103.1513019662637,1.4261243801850538,,,
43,42,,,-113.46570490292918,28,False,True,True,False,collision,11.289487838745117,,,ou_noise,0,6509,1510,755,109.20051137890134,1.5689887745039803,,,
44,43,,,-110.05579606585816,17,False,True,True,False,collision,11.188899040222168,,,ou_noise,0,6526,1527,763,83.86974413254681,1.4683276265859604,,,
45,44,,,-111.00649947405634,20,False,True,True,False,collision,11.193641662597656,,,ou_noise,0,6546,1547,773,112.58787150084973,1.4242101073265077,,,
46,45,,,-145.5930183044127,126,False,True,True,False,collision,10.356244087219238,,,ou_noise,0,6672,1673,836,115.91583355646284,1.4181028623429557,,,
47,46,,,-129.4215185523781,98,False,True,True,False,collision,9.957541465759277,,,ou_noise,0,6770,1771,885,124.66830900007365,1.3444379762727388,,,
48,47,,,117.9966506891861,314,True,False,True,False,success,0.4573332965373993,,,ou_noise,0,7084,2085,1042,113.60862296857651,1.2591113767046838,,,
49,48,,,155.3183942727989,165,True,False,True,False,success,0.49935683608055115,,,ou_noise,0,7249,2250,1125,102.80304891990893,1.1191393438592014,,,
50,49,,,-169.8985599537965,388,False,True,True,False,collision,3.1373891830444336,,,ou_noise,0,7637,2638,1319,97.46767600587349,0.9623044323675412,,,
51,50,,,-81.93478288077955,125,False,True,True,False,collision,4.822845458984375,,,ou_noise,0,7762,2763,1381,99.88637524795533,1.010423183441162,,,
52,51,,,-72.37381825665788,144,False,True,True,False,collision,3.445622682571411,,,ou_noise,0,7906,2907,1453,103.70073395139642,0.9975168878833452,,,
53,52,,,-70.02180733013145,116,False,True,True,False,collision,4.229518890380859,,,ou_noise,0,8022,3023,1511,103.98423997492625,0.9028460701991772,,,
