episode,seed,algorithm,scenario,reward,length,success,collision,terminated,truncated,termination_reason,final_distance,flags_collected,epsilon,exploration_mode,random_action_steps,environment_steps,critic_updates,actor_updates,critic_loss,actor_loss,alpha_loss,alpha,td_error
1,0,,,-39.5,100,False,False,False,True,cutoff,,1,1.0,epsilon_greedy,,100,,,,,,,0.5836750000000004
2,1,,,-29.0,100,False,False,False,True,cutoff,,2,0.99981,epsilon_greedy,,200,,,,,,,0.6709450000000003
3,2,,,-29.0,100,False,False,False,True,cutoff,,2,0.99962,epsilon_greedy,,300,,,,,,,0.6782200000000002
4,3,,,-39.5,100,False,False,False,True,cutoff,,1,0.9994299999999999,epsilon_greedy,,400,,,,,,,0.5709455000000001
5,4,,,-39.5,100,False,False,False,True,cutoff,,1,0.9992399999999999,epsilon_greedy,,500,,,,,,,0.5719369050000004
6,5,,,-29.0,100,False,False,False,True,cutoff,,2,0.9990499999999999,epsilon_greedy,,600,,,,,,,0.6737139845000002
7,6,,,-29.0,100,False,False,False,True,cutoff,,2,0.9988599999999999,epsilon_greedy,,700,,,,,,,0.6544315000000003
8,7,,,-39.5,100,False,False,False,True,cutoff,,1,0.9986699999999998,epsilon_greedy,,800,,,,,,,0.5655050860500004
9,8,,,-18.5,100,False,False,False,True,cutoff,,3,0.9984799999999998,epsilon_greedy,,900,,,,,,,0.7686655750000001
10,9,,,-29.0,100,False,False,False,True,cutoff,,2,0.9982899999999998,epsilon_greedy,,1000,,,,,,,0.6552453024450005
11,10,,,-29.0,100,False,False,False,True,cutoff,,2,0.9980999999999998,epsilon_greedy,,1100,,,,,,,0.6709542647005001
12,11,,,-39.5,100,False,False,False,True,cutoff,,1,0.9979099999999997,epsilon_greedy,,1200,,,,,,,0.5821027500000001
13,12,,,-29.0,100,False,False,False,True,cutoff,,2,0.9977199999999997,epsilon_greedy,,1300,,,,,,,0.64135968073045
14,13,,,-39.5,100,False,False,False,True,cutoff,,1,0.9975299999999997,epsilon_greedy,,1400,,,,,,,0.5248323290490698
15,14,,,-39.5,100,False,False,False,True,cutoff,,1,0.9973399999999997,epsilon_greedy,,1500,,,,,,,0.5501338721825004
16,15,,,-39.5,100,False,False,False,True,cutoff,,1,0.9971499999999996,epsilon_greedy,,1600,,,,,,,0.5397515496892502
17,16,,,-39.5,100,False,False,False,True,cutoff,,1,0.9969599999999996,epsilon_greedy,,1700,,,,,,,0.5413320261203254
18,17,,,-29.0,100,False,False,False,True,cutoff,,2,0.9967699999999996,epsilon_greedy,,1800,,,,,,,0.5864121948517232
19,18,,,-29.0,100,False,False,False,True,cutoff,,2,0.9965799999999996,epsilon_greedy,,1900,,,,,,,0.6488594798932484
20,19,,,-39.5,100,False,False,False,True,cutoff,,1,0.9963899999999996,epsilon_greedy,,2000,,,,,,,0.5267290778948557
21,20,,,-29.0,100,False,False,False,True,cutoff,,2,0.9961999999999995,epsilon_greedy,,2100,,,,,,,0.6387302671225004
22,21,,,-29.0,100,False,False,False,True,cutoff,,2,0.9960099999999995,epsilon_greedy,,2200,,,,,,,0.6518236198534737
23,22,,,-39.5,100,False,False,False,True,cutoff,,1,0.9958199999999995,epsilon_greedy,,2300,,,,,,,0.49455745055757516
24,23,,,-39.5,100,False,False,False,True,cutoff,,1,0.9956299999999995,epsilon_greedy,,2400,,,,,,,0.49548543409710455
25,24,,,-39.5,100,False,False,False,True,cutoff,,1,0.9954399999999994,epsilon_greedy,,2500,,,,,,,0.4975320022317232
26,25,,,-39.5,100,False,False,False,True,cutoff,,1,0.9952499999999994,epsilon_greedy,,2600,,,,,,,0.5649600712651418
27,26,,,-39.5,100,False,False,False,True,cutoff,,1,0.9950599999999994,epsilon_greedy,,2700,,,,,,,0.5118018641552772
28,27,,,-29.0,100,False,False,False,True,cutoff,,2,0.9948699999999994,epsilon_greedy,,2800,,,,,,,0.6413738332018074
29,28,,,-29.0,100,False,False,False,True,cutoff,,2,0.9946799999999993,epsilon_greedy,,2900,,,,,,,0.6565826695931056
30,29,,,-29.0,100,False,False,False,True,cutoff,,2,0.9944899999999993,epsilon_greedy,,3000,,,,,,,0.6330474014930929
31,30,,,-39.5,100,False,False,False,True,cutoff,,1,0.9942999999999993,epsilon_greedy,,3100,,,,,,,0.4811464172154053
32,31,,,-39.5,100,False,False,False,True,cutoff,,1,0.9941099999999993,epsilon_greedy,,3200,,,,,,,0.48839865174988667
33,32,,,-29.0,100,False,False,False,True,cutoff,,2,0.9939199999999992,epsilon_greedy,,3300,,,,,,,0.6487662949300217
34,33,,,-29.0,100,False,False,False,True,cutoff,,2,0.9937299999999992,epsilon_greedy,,3400,,,,,,,0.6628330756670034
35,34,,,-29.0,100,False,False,False,True,cutoff,,2,0.9935399999999992,epsilon_greedy,,3500,,,,,,,0.600817541967166
36,35,,,-29.0,100,False,False,False,True,cutoff,,2,0.9933499999999992,epsilon_greedy,,3600,,,,,,,0.6076809227446133
37,36,,,-39.5,100,False,False,False,True,cutoff,,1,0.9931599999999992,epsilon_greedy,,3700,,,,,,,0.589003624474421
38,37,,,-39.5,100,False,False,False,True,cutoff,,1,0.9929699999999991,epsilon_greedy,,3800,,,,,,,0.5218217538525391
39,38,,,-39.5,100,False,False,False,True,cutoff,,1,0.9927799999999991,epsilon_greedy,,3900,,,,,,,0.5888382174902275
40,39,,,-29.0,100,False,False,False,True,cutoff,,2,0.9925899999999991,epsilon_greedy,,4000,,,,,,,0.6054792768490858
41,40,,,-29.0,100,False,False,False,True,cutoff,,2,0.9923999999999991,epsilon_greedy,,4100,,,,,,,0.6308300081191662
42,41,,,-29.0,100,False,False,False,True,cutoff,,2,0.992209999999999,epsilon_greedy,,4200,,,,,,,0.5892971265251726
43,42,,,-29.0,100,False,False,False,True,cutoff,,2,0.992019999999999,epsilon_greedy,,4300,,,,,,,0.6323783058390745
44,43,,,-29.0,100,False,False,False,True,cutoff,,2,0.991829999999999,epsilon_greedy,,4400,,,,,,,0.6519150758042859
45,44,,,-39.5,100,False,False,False,True,cutoff,,1,0.991639999999999,epsilon_greedy,,4500,,,,,,,0.556606051673685
46,45,,,-29.0,100,False,False,False,True,cutoff,,2,0.9914499999999989,epsilon_greedy,,4600,,,,,,,0.623471345537947
47,46,,,-39.5,100,False,False,False,True,cutoff,,1,0.9912599999999989,epsilon_greedy,,4700,,,,,,,0.4683130699708763
48,47,,,-29.0,100,False,False,False,True,cutoff,,2,0.9910699999999989,epsilon_greedy,,4800,,,,,,,0.6298960529395667
49,48,,,-39.5,100,False,False,False,True,cutoff,,1,0.9908799999999989,epsilon_greedy,,4900,,,,,,,0.5474597494726524
50,49,,,-18.5,100,False,False,False,True,cutoff,,3,0.9906899999999988,epsilon_greedy,,5000,,,,,,,0.6752426371566688
51,50,,,-39.5,100,False,False,False,True,cutoff,,1,0.9904999999999988,epsilon_greedy,,5100,,,,,,,0.4689800026144272
52,51,,,-39.5,100,False,False,False,True,cutoff,,1,0.9903099999999988,epsilon_greedy,,5200,,,,,,,0.5846985361159678
53,52,,,-29.0,100,False,False,False,True,cutoff,,2,0.9901199999999988,epsilon_greedy,,5300,,,,,,,0.655923828519327
54,53,,,-29.0,100,False,False,False,True,cutoff,,2,0.9899299999999988,epsilon_greedy,,5400,,,,,,,0.7101291245860133
55,54,,,-29.0,100,False,False,False,True,cutoff,,2,0.9897399999999987,epsilon_greedy,,5500,,,,,,,0.7099455132050018
56,55,,,-39.5,100,False,False,False,True,cutoff,,1,0.9895499999999987,epsilon_greedy,,5600,,,,,,,0.47647439783284995
