episode,seed,algorithm,scenario,reward,length,success,collision,terminated,truncated,termination_reason,final_distance,flags_collected,epsilon,exploration_mode,random_action_steps,environment_steps,critic_updates,actor_updates,critic_loss,actor_loss,alpha_loss,alpha,td_error
1,0,,,-39.5,100,False,False,False,True,cutoff,,1,1.0,epsilon_greedy,,100,,,,,,,0.5934552500000002
2,1,,,-29.0,100,False,False,False,True,cutoff,,2,0.99981,epsilon_greedy,,200,,,,,,,0.6875807618750003
3,2,,,-39.5,100,False,False,False,True,cutoff,,1,0.99962,epsilon_greedy,,300,,,,,,,0.5897290861187501
4,3,,,-39.5,100,False,False,False,True,cutoff,,1,0.9994299999999999,epsilon_greedy,,400,,,,,,,0.5918905503093751
5,4,,,-39.5,100,False,False,False,True,cutoff,,1,0.9992399999999999,epsilon_greedy,,500,,,,,,,0.5918577381250002
6,5,,,-29.0,100,False,False,False,True,cutoff,,2,0.9990499999999999,epsilon_greedy,,600,,,,,,,0.6876458569375002
7,6,,,-39.5,100,False,False,False,True,cutoff,,1,0.9988599999999999,epsilon_greedy,,700,,,,,,,0.5808789878455766
8,7,,,-39.5,100,False,False,False,True,cutoff,,1,0.9986699999999998,epsilon_greedy,,800,,,,,,,0.5877728498338124
9,8,,,-29.0,100,False,False,False,True,cutoff,,2,0.9984799999999998,epsilon_greedy,,900,,,,,,,0.684317931844987
10,9,,,-29.0,100,False,False,False,True,cutoff,,2,0.9982899999999998,epsilon_greedy,,1000,,,,,,,0.6628067303124969
11,10,,,-39.5,100,False,False,False,True,cutoff,,1,0.9980999999999998,epsilon_greedy,,1100,,,,,,,0.5794733106321219
12,11,,,-50.0,100,False,False,False,True,cutoff,,0,0.9979099999999997,epsilon_greedy,,1200,,,,,,,0.49214078663372396
13,12,,,-29.0,100,False,False,False,True,cutoff,,2,0.9977199999999997,epsilon_greedy,,1300,,,,,,,0.6710783972674583
14,13,,,-39.5,100,False,False,False,True,cutoff,,1,0.9975299999999997,epsilon_greedy,,1400,,,,,,,0.5686484562937175
15,14,,,-39.5,100,False,False,False,True,cutoff,,1,0.9973399999999997,epsilon_greedy,,1500,,,,,,,0.5703426772620834
16,15,,,-29.0,100,False,False,False,True,cutoff,,2,0.9971499999999996,epsilon_greedy,,1600,,,,,,,0.6706150814520049
17,16,,,-39.5,100,False,False,False,True,cutoff,,1,0.9969599999999996,epsilon_greedy,,1700,,,,,,,0.5851758257005532
18,17,,,-29.0,100,False,False,False,True,cutoff,,2,0.9967699999999996,epsilon_greedy,,1800,,,,,,,0.6704143503853272
19,18,,,-39.5,100,False,False,False,True,cutoff,,1,0.9965799999999996,epsilon_greedy,,1900,,,,,,,0.5792610183658083
20,19,,,-39.5,100,False,False,False,True,cutoff,,1,0.9963899999999996,epsilon_greedy,,2000,,,,,,,0.5764639770442399
21,20,,,-29.0,100,False,False,False,True,cutoff,,2,0.9961999999999995,epsilon_greedy,,2100,,,,,,,0.6704264358707427
22,21,,,-29.0,100,False,False,False,True,cutoff,,2,0.9960099999999995,epsilon_greedy,,2200,,,,,,,0.6620778533185178
23,22,,,-39.5,100,False,False,False,True,cutoff,,1,0.9958199999999995,epsilon_greedy,,2300,,,,,,,0.5691789331912875
24,23,,,-39.5,100,False,False,False,True,cutoff,,1,0.9956299999999995,epsilon_greedy,,2400,,,,,,,0.5813598334756525
25,24,,,-39.5,100,False,False,False,True,cutoff,,1,0.9954399999999994,epsilon_greedy,,2500,,,,,,,0.5815264121842226
26,25,,,-39.5,100,False,False,False,True,cutoff,,1,0.9952499999999994,epsilon_greedy,,2600,,,,,,,0.581667037989509
27,26,,,-39.5,100,False,False,False,True,cutoff,,1,0.9950599999999994,epsilon_greedy,,2700,,,,,,,0.5687212208561737
28,27,,,-29.0,100,False,False,False,True,cutoff,,2,0.9948699999999994,epsilon_greedy,,2800,,,,,,,0.6628889479527509
29,28,,,-39.5,100,False,False,False,True,cutoff,,1,0.9946799999999993,epsilon_greedy,,2900,,,,,,,0.5652915614365862
30,29,,,-39.5,100,False,False,False,True,cutoff,,1,0.9944899999999993,epsilon_greedy,,3000,,,,,,,0.5672016131370413
31,30,,,-39.5,100,False,False,False,True,cutoff,,1,0.9942999999999993,epsilon_greedy,,3100,,,,,,,0.5793535553921794
32,31,,,-39.5,100,False,False,False,True,cutoff,,1,0.9941099999999993,epsilon_greedy,,3200,,,,,,,0.5590297650947383
33,32,,,-39.5,100,False,False,False,True,cutoff,,1,0.9939199999999992,epsilon_greedy,,3300,,,,,,,0.5622212956307165
34,33,,,-29.0,100,False,False,False,True,cutoff,,2,0.9937299999999992,epsilon_greedy,,3400,,,,,,,0.669108881283044
35,34,,,-39.5,100,False,False,False,True,cutoff,,1,0.9935399999999992,epsilon_greedy,,3500,,,,,,,0.5650556613852089
36,35,,,-39.5,100,False,False,False,True,cutoff,,1,0.9933499999999992,epsilon_greedy,,3600,,,,,,,0.5588992553874913
37,36,,,-50.0,100,False,False,False,True,cutoff,,0,0.9931599999999992,epsilon_greedy,,3700,,,,,,,0.47459693463599534
38,37,,,-39.5,100,False,False,False,True,cutoff,,1,0.9929699999999991,epsilon_greedy,,3800,,,,,,,0.5598795591335102
39,38,,,-39.5,100,False,False,False,True,cutoff,,1,0.9927799999999991,epsilon_greedy,,3900,,,,,,,0.5678375897203846
40,39,,,-39.5,100,False,False,False,True,cutoff,,1,0.9925899999999991,epsilon_greedy,,4000,,,,,,,0.5719752746770232
41,40,,,-39.5,100,False,False,False,True,cutoff,,1,0.9923999999999991,epsilon_greedy,,4100,,,,,,,0.5658570537626727
42,41,,,-29.0,100,False,False,False,True,cutoff,,2,0.992209999999999,epsilon_greedy,,4200,,,,,,,0.6622113943131521
43,42,,,-29.0,100,False,False,False,True,cutoff,,2,0.992019999999999,epsilon_greedy,,4300,,,,,,,0.6716166079683121
44,43,,,-29.0,100,False,False,False,True,cutoff,,2,0.991829999999999,epsilon_greedy,,4400,,,,,,,0.6437439724954603
45,44,,,-29.0,100,False,False,False,True,cutoff,,2,0.991639999999999,epsilon_greedy,,4500,,,,,,,0.6549358746083507
46,45,,,-39.5,100,False,False,False,True,cutoff,,1,0.9914499999999989,epsilon_greedy,,4600,,,,,,,0.5590541612809147
47,46,,,-39.5,100,False,False,False,True,cutoff,,1,0.9912599999999989,epsilon_greedy,,4700,,,,,,,0.5450926209414856
48,47,,,-39.5,100,False,False,False,True,cutoff,,1,0.9910699999999989,epsilon_greedy,,4800,,,,,,,0.5762806703067966
49,48,,,-39.5,100,False,False,False,True,cutoff,,1,0.9908799999999989,epsilon_greedy,,4900,,,,,,,0.5625755432290682
50,49,,,-39.5,100,False,False,False,True,cutoff,,1,0.9906899999999988,epsilon_greedy,,5000,,,,,,,0.5684526225582223
51,50,,,-39.5,100,False,False,False,True,cutoff,,1,0.9904999999999988,epsilon_greedy,,5100,,,,,,,0.5523174219115079
52,51,,,-18.5,100,False,False,False,True,cutoff,,3,0.9903099999999988,epsilon_greedy,,5200,,,,,,,0.7457304518747482
53,52,,,-29.0,100,False,False,False,True,cutoff,,2,0.9901199999999988,epsilon_greedy,,5300,,,,,,,0.661437694363596
54,53,,,-29.0,100,False,False,False,True,cutoff,,2,0.9899299999999988,epsilon_greedy,,5400,,,,,,,0.6557247996891685
55,54,,,-39.5,100,False,False,False,True,cutoff,,1,0.9897399999999987,epsilon_greedy,,5500,,,,,,,0.5533217041416436
56,55,,,-29.0,100,False,False,False,True,cutoff,,2,0.9895499999999987,epsilon_greedy,,5600,,,,,,,0.6409696491200507
57,56,,,-29.0,100,False,False,False,True,cutoff,,2,0.9893599999999987,epsilon_greedy,,5700,,,,,,,0.648071700223366
58,57,,,-39.5,100,False,False,False,True,cutoff,,1,0.9891699999999987,epsilon_greedy,,5800,,,,,,,0.5592441224850166
59,58,,,-29.0,100,False,False,False,True,cutoff,,2,0.9889799999999986,epsilon_greedy,,5900,,,,,,,0.6270744802500083
60,59,,,-29.0,100,False,False,False,True,cutoff,,2,0.9887899999999986,epsilon_greedy,,6000,,,,,,,0.6600541009069318
61,60,,,-29.0,100,False,False,False,True,cutoff,,2,0.9885999999999986,epsilon_greedy,,6100,,,,,,,0.6515126573715291
62,61,,,-39.5,100,False,False,False,True,cutoff,,1,0.9884099999999986,epsilon_greedy,,6200,,,,,,,0.5694522825695558
63,62,,,-18.5,100,False,False,False,True,cutoff,,3,0.9882199999999985,epsilon_greedy,,6300,,,,,,,0.7515398543647492
64,63,,,-39.5,100,False,False,False,True,cutoff,,1,0.9880299999999985,epsilon_greedy,,6400,,,,,,,0.564242777208798
65,64,,,-39.5,100,False,False,False,True,cutoff,,1,0.9878399999999985,epsilon_greedy,,6500,,,,,,,0.550715865477277
66,65,,,-29.0,100,False,False,False,True,cutoff,,2,0.9876499999999985,epsilon_greedy,,6600,,,,,,,0.6400763474773707
67,66,,,-39.5,100,False,False,False,True,cutoff,,1,0.9874599999999985,epsilon_greedy,,6700,,,,,,,0.5476552972921099
68,67,,,-18.5,100,False,False,False,True,cutoff,,3,0.9872699999999984,epsilon_greedy,,6800,,,,,,,0.7342802948266859
69,68,,,-50.0,100,False,False,False,True,cutoff,,0,0.9870799999999984,epsilon_greedy,,6900,,,,,,,0.48768914184902
70,69,,,-39.5,100,False,False,False,True,cutoff,,1,0.9868899999999984,epsilon_greedy,,7000,,,,,,,0.5304979734631005
71,70,,,-29.0,100,False,False,False,True,cutoff,,2,0.9866999999999984,epsilon_greedy,,7100,,,,,,,0.6331012139265834
72,71,,,-29.0,100,False,False,False,True,cutoff,,2,0.9865099999999983,epsilon_greedy,,7200,,,,,,,0.6353966756275509
73,72,,,-18.5,100,False,False,False,True,cutoff,,3,0.9863199999999983,epsilon_greedy,,7300,,,,,,,0.7635180021322415
74,73,,,-39.5,100,False,False,False,True,cutoff,,1,0.9861299999999983,epsilon_greedy,,7400,,,,,,,0.539649886687799
75,74,,,-29.0,100,False,False,False,True,cutoff,,2,0.9859399999999983,epsilon_greedy,,7500,,,,,,,0.6446925206543033
76,75,,,-29.0,100,False,False,False,True,cutoff,,2,0.9857499999999982,epsilon_greedy,,7600,,,,,,,0.6417776539431084
77,76,,,-29.0,100,False,False,False,True,cutoff,,2,0.9855599999999982,epsilon_greedy,,7700,,,,,,,0.6572680169953041
78,77,,,-50.0,100,False,False,False,True,cutoff,,0,0.9853699999999982,epsilon_greedy,,7800,,,,,,,0.4722167146110116
79,78,,,-39.5,100,False,False,False,True,cutoff,,1,0.9851799999999982,epsilon_greedy,,7900,,,,,,,0.5502064636580958
80,79,,,-39.5,100,False,False,False,True,cutoff,,1,0.9849899999999981,epsilon_greedy,,8000,,,,,,,0.5532089673324364
81,80,,,-29.0,100,False,False,False,True,cutoff,,2,0.9847999999999981,epsilon_greedy,,8100,,,,,,,0.6598040709846157
82,81,,,-29.0,100,False,False,False,True,cutoff,,2,0.9846099999999981,epsilon_greedy,,8200,,,,,,,0.6334215609655685
83,82,,,-39.5,100,False,False,False,True,cutoff,,1,0.9844199999999981,epsilon_greedy,,8300,,,,,,,0.5566955977122973
84,83,,,-29.0,100,False,False,False,True,cutoff,,2,0.984229999999998,epsilon_greedy,,8400,,,,,,,0.6554489176258901
85,84,,,-29.0,100,False,False,False,True,cutoff,,2,0.984039999999998,epsilon_greedy,,8500,,,,,,,0.6486085868312246
86,85,,,-39.5,100,False,False,False,True,cutoff,,1,0.983849999999998,epsilon_greedy,,8600,,,,,,,0.5506493498975378
87,86,,,-29.0,100,False,False,False,True,cutoff,,2,0.983659999999998,epsilon_greedy,,8700,,,,,,,0.6521764264101955
88,87,,,-29.0,100,False,False,False,True,cutoff,,2,0.983469999999998,epsilon_greedy,,8800,,,,,,,0.6274274023131893
89,88,,,-29.0,100,False,False,False,True,cutoff,,2,0.9832799999999979,epsilon_greedy,,8900,,,,,,,0.6274388313354148
90,89,,,-29.0,100,False,False,False,True,cutoff,,2,0.9830899999999979,epsilon_greedy,,9000,,,,,,,0.6292585696059805
91,90,,,-29.0,100,False,False,False,True,cutoff,,2,0.9828999999999979,epsilon_greedy,,9100,,,,,,,0.6370134805106941
92,91,,,-39.5,100,False,False,False,True,cutoff,,1,0.9827099999999979,epsilon_greedy,,9200,,,,,,,0.5608656260861933
93,92,,,-29.0,100,False,False,False,True,cutoff,,2,0.9825199999999978,epsilon_greedy,,9300,,,,,,,0.6373138964533525
94,93,,,-29.0,100,False,False,False,True,cutoff,,2,0.9823299999999978,epsilon_greedy,,9400,,,,,,,0.6503541696376917
95,94,,,-39.5,100,False,False,False,True,cutoff,,1,0.9821399999999978,epsilon_greedy,,9500,,,,,,,0.5525425176302469
96,95,,,-39.5,100,False,False,False,True,cutoff,,1,0.9819499999999978,epsilon_greedy,,9600,,,,,,,0.5437580864765497
97,96,,,-29.0,100,False,False,False,True,cutoff,,2,0.9817599999999977,epsilon_greedy,,9700,,,,,,,0.6503007829453304
98,97,,,-29.0,100,False,False,False,True,cutoff,,2,0.9815699999999977,epsilon_greedy,,9800,,,,,,,0.622217155642059
99,98,,,-29.0,100,False,False,False,True,cutoff,,2,0.9813799999999977,epsilon_greedy,,9900,,,,,,,0.6521493154744046
100,99,,,-29.0,100,False,False,False,True,cutoff,,2,0.9811899999999977,epsilon_greedy,,10000,,,,,,,0.623973059439092
101,100,,,-39.5,100,False,False,False,True,cutoff,,1,0.9809999999999977,epsilon_greedy,,10100,,,,,,,0.535551274984267
102,101,,,-39.5,100,False,False,False,True,cutoff,,1,0.9808099999999976,epsilon_greedy,,10200,,,,,,,0.5516165451352293
103,102,,,-39.5,100,False,False,False,True,cutoff,,1,0.9806199999999976,epsilon_greedy,,10300,,,,,,,0.5571335856713505
104,103,,,-39.5,100,False,False,False,True,cutoff,,1,0.9804299999999976,epsilon_greedy,,10400,,,,,,,0.5690281965244648
105,104,,,-39.5,100,False,False,False,True,cutoff,,1,0.9802399999999976,epsilon_greedy,,10500,,,,,,,0.5653342357592345
106,105,,,-39.5,100,False,False,False,True,cutoff,,1,0.9800499999999975,epsilon_greedy,,10600,,,,,,,0.5515107168011486
107,106,,,-29.0,100,False,False,False,True,cutoff,,2,0.9798599999999975,epsilon_greedy,,10700,,,,,,,0.6280154654167744
108,107,,,-29.0,100,False,False,False,True,cutoff,,2,0.9796699999999975,epsilon_greedy,,10800,,,,,,,0.6412899709897661
109,108,,,-29.0,100,False,False,False,True,cutoff,,2,0.9794799999999975,epsilon_greedy,,10900,,,,,,,0.6158185158598171
110,109,,,-29.0,100,False,False,False,True,cutoff,,2,0.9792899999999974,epsilon_greedy,,11000,,,,,,,0.6285645864407544
111,110,,,-29.0,100,False,False,False,True,cutoff,,2,0.9790999999999974,epsilon_greedy,,11100,,,,,,,0.6425037715351762
112,111,,,-39.5,100,False,False,False,True,cutoff,,1,0.9789099999999974,epsilon_greedy,,11200,,,,,,,0.5391704735911711
113,112,,,-50.0,100,False,False,False,True,cutoff,,0,0.9787199999999974,epsilon_greedy,,11300,,,,,,,0.47589536685105904
114,113,,,-29.0,100,False,False,False,True,cutoff,,2,0.9785299999999973,epsilon_greedy,,11400,,,,,,,0.6605699607288759
115,114,,,-29.0,100,False,False,False,True,cutoff,,2,0.9783399999999973,epsilon_greedy,,11500,,,,,,,0.6376196179211234
116,115,,,-29.0,100,False,False,False,True,cutoff,,2,0.9781499999999973,epsilon_greedy,,11600,,,,,,,0.6487377910435125
117,116,,,-39.5,100,False,False,False,True,cutoff,,1,0.9779599999999973,epsilon_greedy,,11700,,,,,,,0.5321872343259253
118,117,,,-29.0,100,False,False,False,True,cutoff,,2,0.9777699999999973,epsilon_greedy,,11800,,,,,,,0.6134897453545624
119,118,,,-50.0,100,False,False,False,True,cutoff,,0,0.9775799999999972,epsilon_greedy,,11900,,,,,,,0.497907212506744
120,119,,,-29.0,100,False,False,False,True,cutoff,,2,0.9773899999999972,epsilon_greedy,,12000,,,,,,,0.6312790041150158
121,120,,,-50.0,100,False,False,False,True,cutoff,,0,0.9771999999999972,epsilon_greedy,,12100,,,,,,,0.4700901865951216
122,121,,,-39.5,100,False,False,False,True,cutoff,,1,0.9770099999999972,epsilon_greedy,,12200,,,,,,,0.5286090466339496
123,122,,,-39.5,100,False,False,False,True,cutoff,,1,0.9768199999999971,epsilon_greedy,,12300,,,,,,,0.5361984297693553
124,123,,,-29.0,100,False,False,False,True,cutoff,,2,0.9766299999999971,epsilon_greedy,,12400,,,,,,,0.650710158679396
125,124,,,-29.0,100,False,False,False,True,cutoff,,2,0.9764399999999971,epsilon_greedy,,12500,,,,,,,0.6316383466442919
126,125,,,-39.5,100,False,False,False,True,cutoff,,1,0.9762499999999971,epsilon_greedy,,12600,,,,,,,0.537331255750589
127,126,,,-39.5,100,False,False,False,True,cutoff,,1,0.976059999999997,epsilon_greedy,,12700,,,,,,,0.5412944924499604
128,127,,,-39.5,100,False,False,False,True,cutoff,,1,0.975869999999997,epsilon_greedy,,12800,,,,,,,0.5621809791559261
129,128,,,-29.0,100,False,False,False,True,cutoff,,2,0.975679999999997,epsilon_greedy,,12900,,,,,,,0.6191727444224245
130,129,,,-29.0,100,False,False,False,True,cutoff,,2,0.975489999999997,epsilon_greedy,,13000,,,,,,,0.612529872984928
131,130,,,-29.0,100,False,False,False,True,cutoff,,2,0.975299999999997,epsilon_greedy,,13100,,,,,,,0.6404035677424299
132,131,,,-39.5,100,False,False,False,True,cutoff,,1,0.9751099999999969,epsilon_greedy,,13200,,,,,,,0.5798836376887643
133,132,,,-18.5,100,False,False,False,True,cutoff,,3,0.9749199999999969,epsilon_greedy,,13300,,,,,,,0.7289744858801258
134,133,,,-18.5,100,False,False,False,True,cutoff,,3,0.9747299999999969,epsilon_greedy,,13400,,,,,,,0.7215963554397321
135,134,,,-39.5,100,False,False,False,True,cutoff,,1,0.9745399999999969,epsilon_greedy,,13500,,,,,,,0.5301995146961918
136,135,,,-29.0,100,False,False,False,True,cutoff,,2,0.9743499999999968,epsilon_greedy,,13600,,,,,,,0.6087439102618338
137,136,,,-29.0,100,False,False,False,True,cutoff,,2,0.9741599999999968,epsilon_greedy,,13700,,,,,,,0.6285225874117688
138,137,,,-29.0,100,False,False,False,True,cutoff,,2,0.9739699999999968,epsilon_greedy,,13800,,,,,,,0.6276491301900751
139,138,,,-39.5,100,False,False,False,True,cutoff,,1,0.9737799999999968,epsilon_greedy,,13900,,,,,,,0.5283544285515016
140,139,,,-39.5,100,False,False,False,True,cutoff,,1,0.9735899999999967,epsilon_greedy,,14000,,,,,,,0.5545996458990019
141,140,,,-29.0,100,False,False,False,True,cutoff,,2,0.9733999999999967,epsilon_greedy,,14100,,,,,,,0.6411344399036751
142,141,,,-29.0,100,False,False,False,True,cutoff,,2,0.9732099999999967,epsilon_greedy,,14200,,,,,,,0.6386892206280351
143,142,,,-39.5,100,False,False,False,True,cutoff,,1,0.9730199999999967,epsilon_greedy,,14300,,,,,,,0.5350125468120617
144,143,,,-29.0,100,False,False,False,True,cutoff,,2,0.9728299999999966,epsilon_greedy,,14400,,,,,,,0.6159411224679989
145,144,,,-39.5,100,False,False,False,True,cutoff,,1,0.9726399999999966,epsilon_greedy,,14500,,,,,,,0.5579267020461782
146,145,,,-39.5,100,False,False,False,True,cutoff,,1,0.9724499999999966,epsilon_greedy,,14600,,,,,,,0.5457241733652158
147,146,,,-18.5,100,False,False,False,True,cutoff,,3,0.9722599999999966,epsilon_greedy,,14700,,,,,,,0.7291932912390671
148,147,,,-39.5,100,False,False,False,True,cutoff,,1,0.9720699999999965,epsilon_greedy,,14800,,,,,,,0.5192833531361971
